title,description,text,date,language
Quelles sont les causes de l'inflation actuelle?,"Revenue par surprise après une dizaine d'années d'accalmie, l'inflation est bien partie pour rester. Ce que tout le monde était loin d'avoir prévu. Lire la suite","Temps de lecture: 8 min
Depuis une dizaine d'années, l'inflation était basse, en dessous des objectifs que s'étaient fixés la plupart des banques centrales des pays développés. Elles ont tout essayé… [+12387 chars]",2022-05-09,en
Covid-19 : la petite histoire de la grande pandémie,La pandémie est-elle déjà tombée dans les oubliettes de l'Histoire. L'historien Adam Tooze nous refait le film dans cet essai très documenté.,"Professeur à l'université de Columbia à New York, Adam Tooze est un spécialiste reconnu d'histoire contemporaine. Il s'est fait connaître du grand public par Crashed, best-seller sur la crise financi… [+2776 chars]",2022-05-21,en
Des milliers de manifestants à Athènes contre la hausse du coût de la vie,"ATHENES (Reuters) - Quelque 10.000 personnes, selon la police, ont défilé dimanche à Athènes, à l'occasion du 1er-Mai, pour protester contre la hausse des prix de l'énergie et de l'alimentation.
La pandémie de coronavirus a porté un coup d'arrêt sévère au rét…","ATHENES (Reuters) - Quelque 10.000 personnes, selon la police, ont défilé dimanche à Athènes, à l'occasion du 1er-Mai, pour protester contre la hausse des prix de l'énergie et de l'alimentation.
La … [+1264 chars]",2022-05-02,en
"Contre l’inflation, astuces, trucs et troc en stock","Contraints de s’adapter à la flambée des prix, les consommateurs disposent d’outils variés pour tenter de préserver leur budget.","Ressourceries, comparateurs de prix, emprunt dobjets, groupement dachat Les outils pour consommer sans (trop) se ruiner ne manquent pas. Face à la hausse des prix, voici quelques pistes pour consomme… [+7064 chars]",2022-05-13,en
La Berd aggrave sa prévision de contraction pour l'Ukraine et toute sa zone,"Londres - La Banque européenne pour la reconstruction et le développement (Berd), qui tient cette semaine son assemblée générale annuelle, a fortement aggravé ses prévisions de contraction économique pour l'Ukraine au regard de l'invasion russe qui se prolong…","Elle table désormais sur une contraction brutale de 30% de l'économie ukrainienne cette année au lieu de 20% attendus en mars, au tout début de l'offensive russe. 
L'organisation internationale anti… [+4035 chars]",2022-05-10,en
"La Commission suspend les critères de Maastricht un an de plus, jusqu’à la fin 2023","Alors que l’Allemagne et l’Europe du nord restent attachés à l’orthodoxie budgétaire, l’exécutif communautaire recommande aux pays européens les plus endettés de commencer à réduire leur dette. Elle conseille notamment à la France de réformer son système des …","Le commissaire à léconomie Paolo Gentiloni (à gauche) et le vice-président de la Commission européenne Valdis Dombrovskis, à Bruxelles (Belgique), le 23 mais 2022. OLIVIER MATTHYS / AP
Reviendra-t-o… [+3201 chars]",2022-05-23,en
"Comment le Covid-19 a servi de révélateur à la crise de la mondialisation, selon Adam Tooze","Dans son nouveau livre, ""L'Arrêt"" (1) (éd. Les Belles Lettres), l'historien de l'université de Columbia (Etats-Unis) signe la suite de son best-seller ""Crashed"", qui analysait les conséquences de la crise de 2008. Il n'aura fallu qu'une mutation marginale d'u…","Spécialiste de l'histoire moderne allemande, en particulier du nazisme, et des crises financières, l'historien britannique Adam Tooze, professeur à l'Université de Columbia où il dirige l'Institut eu… [+12424 chars]",2022-05-19,en
La Banque mondiale se mobilise contre la crise alimentaire,L'institution financière va débloquer près de 30 milliards d'euros dans divers volets consacrés à la lutte contre l'insécurité alimentaire. Le programme s'étalera sur quinze mois.,Les institutions internationales s'alarment de la situation alimentaire mondiale ! La Banque mondiale débloque plus de onze milliards d'euros pour financer des projets d'approvisionnement en eau ou d… [+2240 chars],2022-05-19,en
"Guillaume Klossa : ""L'Europe doit mener une guerre des récits avec la Chine et l'Amérique""","Le fondateur du think tank EuropaNova publie Fierté européenne, un manifeste destiné à convaincre les Français des vertus de leur citoyenneté européenne. Indispensable.","Fondateur du think tank EuropaNova et du mouvement démocratique Civico Europa, conseiller spécial pour la présidence française de l'UE de 2008, essayiste, Guillaume Klossa a vécu de l'intérieur les c… [+15918 chars]",2022-05-08,en
"Aux Etats-Unis, Buffalo entre deuil et colère après l’assassinat de 10 personnes par un suprémaciste blanc","L’auteur de l’attaque, Payton Gendron, 18 ans, a visé un quartier noir défavorisé de cette ville de l’Etat de New York. Il a laissé un manifeste complotiste dans lequel il se revendique raciste et antisémite.","Une personne se recueille devant le supermarché où un suprémaciste blanc a tué dix personnes, à Buffalo (Etats-Unis), le 15 mai 2022. SCOTT OLSON / AFP
Tops Friendly Markets était le lieu où tout le… [+2627 chars]",2022-05-16,en
Vers une petite « mondialisation entre amis » ?,[Le nouveau désordre mondial] La pandémie et la guerre en Ukraine accélèrent le recul de la mondialisation amorcé dès 2008. Jusqu’à fragmenter les systèmes productif et financier mondiaux ?,"Après une crise financière, une pandémie et une guerre en Europe, où en est la mondialisation économique ? Elle se porte assurément moins bien ! De quel point de vue ? La mondialisation, cest dabord … [+13193 chars]",2022-05-05,en
"Après dix années de crise, le mea culpa du président de Deutsche Bank","A l’heure de quitter ses fonctions de président du conseil de surveillance de la première banque allemande, Paul Achleitner, a confessé, de manière inattendue, des erreurs pendant ses deux mandats successifs.","Il nest pas si fréquent que les dirigeants de grandes entreprises avouent, au moment de passer la main, sêtre beaucoup trompés, de longues années durant. Paul Achleitner, le président du conseil de s… [+2774 chars]",2022-05-19,en
Pourquoi l’Allemagne est en partie responsable de la désindustrialisation française,"Sans coordination, une relance de la demande en France pourrait nuire à l’industrie hexagonale au profit de l’Allemagne. Répétant le scénario du début des années 2000.","Les mesures de lutte contre linflation ont succédé au « quoi quil en coûte ». Pour limiter les impacts économiques de la crise sanitaire puis ceux de la guerre en Ukraine, lheure est à la dépense pub… [+6211 chars]",2022-05-13,en
Isabelle Bensidoun : « L’invasion de l’Ukraine vient à nouveau porter une lumière crue sur nos interdépendances »,L’économiste observe que l’attaque russe rebat les cartes du commerce mondial et démontre que les seuls critères économiques ne peuvent guider les choix d’internationalisation.,"Isabelle Bensidoun est économiste, adjointe au directeur du Centre détudes prospectives et dinformations internationales (Cepii), coautrice, avec Enzo (dessinateur) et Sébastien Jean, de La Folle His… [+2863 chars]",2022-05-06,en
"Tikehau Ace Capital, le fonds qui fait redécoller l'aéronautique française","Porté par les grands industriels et l'Etat, la société d'investissement s'est imposée comme le fer de lance du sauvetage de la filière durant la crise du Covid. Après Aubert & Duval et Crouzet, elle entre aujourd'hui au capital du sous-traitant stratégique Bt…","Un festival. Depuis six mois, Tikehau Ace Capital carbure au rythme impressionnant d'une opération par mois. En décembre 2021, le fonds d'investissement français reprenait le spécialiste de l'usinage… [+7365 chars]",2022-05-20,en
La BNB prévoit un ralentissement de la croissance des prix de l'immobilier,C'est actuellement l'hypothèse de la Banque nationale de Belgique (BNB),"La hausse des taux d'intérêt hypothécaires entraînera un ralentissement de la croissance des prix sur le marché de l'immobilier.
La Banque nationale ne voit pas de krach sur le marché de l'immobilie… [+1167 chars]",2022-05-13,en
L’Allemagne est en partie responsable de la désindustrialisation française,"Sans coordination, une relance de la demande en France pourrait nuire à l’industrie hexagonale au profit de l’Allemagne. Répétant le scénario du début des années 2000.","Entre le « quoi quil en coûte » et les mesures de lutte contre linflation, lheure est à la dépense publique. Ces politiques budgétaires adoptées en France et plus largement en Europe ont « clairement… [+6113 chars]",2022-05-13,en
Dr. Strangelove aux commandes,"« It's the economy stupid », un truisme à mille lieues du monde des feux follets de l'écologie et du langage épicène, qui nous gouvernent, diplômés de Masters en sciences des religions et autres. Et pourtant, on peut être de gauche et s'y connaître en économi…","« It’s the economy stupid », un truisme à mille lieues du monde des feux follets de l’écologie et du langage épicène, qui nous gouvernent, diplômés de Masters en sciences des religions et autres. Et … [+6958 chars]",2022-04-30,en
